"variable","coefficient"
"(Intercept)",81.1110012666997
"beef",-9.45833633299913
"class1",1.00043865136525
"level2",6.39964111033877
"level3",14.1955166978991
"bestby",-2.22910060125023
"useby",0.392221457867427
"date_days",-1.46155651864092
"large",4.56555388571598
"age",-0.121682983869603
"gender",-0.00814143033174988
"educ",-6.1948937181686
"income",-0.257572424490551
"hhld_size",-0.18770656706952
"child_pres",1.24677200169088
"nonwhite",-0.768808820493933
"preshop_1",-0.586725926302391
"preshop_2",-1.84741965049813
"preshop_3",-0.00257535222572588
"preshop_4",0.440729367366686
"instore_5",2.38496757944256
"instore_6",-0.410672551438086
"instore_7",-1.98825860615618
"tosspre_8",-0.527154084642025
"tosspre_9",0.92657795440386
"tosspre_10",-2.34469520965645
"tosspre_11",-1.49999592060734
"tosspre_12",-1.17234779755747
"tosspre_13",0.938491193565147
"tosspre_14",0.927082056008663
"tosspost_15",-0.358112549119655
"tosspost_16",0.313490549780426
"tosspost_17",-1.48448443494052
"tosspost_18",-0.554264046877173
"tosspost_19",-1.39786594160829
"amount_21",3.3106499293038
"amount_22",1.61809635955171
"amount_23",0.430336025161907
"amount_24",-0.0983165567015278
"amount_25",1.63125015891292
"amount_26",2.37906351771181
"amount_27",-6.83868571561116
"skill_28",-0.714126716854276
"skill_29",-1.27015656778903
"skill_30",-1.34834922753656
"skill_31",0.601598260891478
"skill_32",2.89048069523397
"skill_33",-2.21566230122716
"family_34",-0.619258694513409
"family_35",-1.13432602040036
"compost_36",0.313963274013528
"recycle_37",-2.08410328404123
