"Variable","Estimate","Std_Error","t_value","p_value"
"level3",14.8349413795492,1.64856901554342,8.99867778641899,5.03655447001341e-19
"(Intercept)",83.9327149992628,11.5913238537124,7.24099473524601,6.24994841050697e-13
"amount_27",-7.76102209546901,1.25815132317798,-6.16859192729326,8.26276592968468e-10
"date_days",-1.54106886538515,0.350160693176893,-4.40103328390042,1.1321245213887e-05
"level2",7.02830480738804,1.64766987416854,4.26560254428072,2.08336083034875e-05
"recycle_37",-2.14005228729189,0.517451572977198,-4.13575375755249,3.67918688049041e-05
"beef",-11.0320987513543,2.67052430040051,-4.13106098667584,3.75448528043731e-05
"amount_21",3.46183402284436,0.93989504630245,3.68321339330729,0.000236215672463882
"educ",-5.97499575934211,1.67482973970278,-3.56752427885742,0.000368557167283556
"instore_7",-2.33299386659374,0.734104842028932,-3.17801182205224,0.00150475759030268
"instore_5",2.7773085030533,0.875835117690636,3.17104035560528,0.0015411613449257
"tosspre_10",-2.61383017449641,0.850030107509892,-3.0749854051093,0.00213261999330027
"skill_32",3.88417036652662,1.31784518234362,2.94736469698142,0.00324077797434175
"age",-0.140365397651984,0.0507998561264012,-2.76310620452791,0.00577603967343091
"preshop_2",-2.04729144236335,0.764493234117539,-2.67797195710509,0.00746545950085826
"tosspre_12",-1.49191939233159,0.58529586041895,-2.54900041709451,0.0108747753868597
"amount_26",2.74707978567566,1.09041868724806,2.51928898303145,0.0118339268885842
"tosspost_17",-1.55214847611501,0.619029370940193,-2.50739068124923,0.0122386146859351
"tosspre_11",-1.65279080213001,0.67302349625465,-2.45576983764717,0.014139933260995
"tosspost_19",-1.63553354651221,0.668966001543314,-2.44486796449896,0.0145733357864968
"skill_33",-3.56664580787105,1.57195026756526,-2.26893043721753,0.023375039275262
"tosspre_9",1.31770220291533,0.623071470256697,2.1148492040126,0.0345619605316306
"income",-0.268243835734033,0.134655111808903,-1.99208059857923,0.0464933126163448
"amount_22",1.81618021564771,0.92706003837053,1.95907507656134,0.0502379901986126
"tosspre_13",1.31626938174643,0.676375865957305,1.94606201669165,0.051782384974175
"large",4.01586449673085,2.16993106943128,1.85068758787042,0.0643568247857352
"skill_29",-1.70816978909088,0.940619268763718,-1.81600552510048,0.069514058789041
"tosspre_14",1.36915821118495,0.785580742176899,1.74286122059321,0.0815062772068175
"amount_25",1.70006598556681,1.08059304880716,1.57327125826274,0.115808767595302
"family_35",-1.23154075243099,0.798895011780423,-1.54155519094602,0.123334495065225
"bestby",-2.35760157175536,1.63511665393719,-1.44185527441024,0.149494401298875
"skill_30",-1.42559000751082,1.03297593625808,-1.3800805589673,0.167710798679465
"tosspre_8",-0.966160486902027,0.726529213990349,-1.32983019580939,0.183720666317521
"amount_23",0.973988565771531,0.749651357809061,1.29925538802213,0.194000916304658
"child_pres",2.455371540833,2.1351147775916,1.14999510405837,0.250278663506843
"hhld_size",-0.736046603041146,0.705542798399826,-1.04323452058543,0.296961447586066
"skill_31",1.19613118283683,1.19921822176317,0.997425790510586,0.318674400395408
"preshop_1",-0.617855715635002,0.635150707113195,-0.972770255492906,0.330781099927086
"family_34",-0.755245710922881,0.779246899392816,-0.969199507256767,0.332558829352109
"compost_36",0.783722921416116,0.816295231079879,0.960097390718952,0.337118275881287
"tosspost_18",-0.647554769470345,0.713453595214137,-0.907634040691865,0.364177200552089
"preshop_4",0.710880595953314,0.850996125673914,0.835351154378475,0.403616380638723
"tosspost_16",0.54319569263164,0.667383573975645,0.813918282998471,0.415785335938016
"instore_6",-0.545243752741815,0.774193375392712,-0.704273337995484,0.481341749180765
"skill_28",-0.686349682148287,1.02065769654282,-0.672458243809945,0.50136703126632
"nonwhite",-1.44411981099229,2.17741082824457,-0.663227991823913,0.507258359284905
"amount_24",-0.417225301740846,0.702015373068761,-0.594325021568978,0.552359662985895
"price",0.211717869640135,0.390945750501998,0.54155306552962,0.588184684488016
"class1",1.19315305794826,2.29682494456324,0.51947931894964,0.603482043700962
"tosspost_15",-0.327606111510176,0.675740906125721,-0.48481024093756,0.627862229894661
"useby",0.788906779203469,1.67557934725443,0.470826273011872,0.637814385796125
"preshop_3",-0.192750000412902,0.782954188939003,-0.246182986355947,0.80556498157909
"gender",-0.34210891561668,1.55463614064698,-0.220057225399577,0.825848275961006
"amount_20",0.0950802644367802,0.960717513963265,0.0989679724319211,0.921173277516057
