"variable","IncMSE","IncNodePurity"
"beef",26.6301563512399,70380.4287515235
"amount_21",26.4337324727255,75798.6624316006
"instore_6",24.2304509300887,42309.1408362131
"tosspre_13",23.6748511402711,45708.382550139
"tosspre_11",23.417814878445,54762.1093235379
"instore_7",23.3952216394766,42520.0064342361
"income",23.1081141752437,59053.0460544622
"instore_5",22.3031873125618,33932.3297041593
"tosspost_16",22.1801350741198,33416.1235392878
"family_34",21.8786220644485,34392.0633314496
"amount_24",20.9291508873008,44230.5396474109
"age",20.7288068855554,53912.1923965676
"tosspost_18",20.6525282542274,42685.9292452421
"amount_23",20.4596344295827,33625.940103006
"preshop_2",20.1247100753928,37421.0946649566
"tosspost_15",20.1205927362978,36030.1218269033
"recycle_37",20.0830641755319,35242.2614915112
"price",20.0095947542121,119688.843070634
"skill_29",19.9498530978867,34985.7105800664
"preshop_3",19.6270577782281,31634.157368679
"tosspre_9",19.564550969206,38871.8408964961
"tosspre_10",19.1418558966571,37716.9700770406
"skill_31",19.0144453108541,26648.4682885078
"preshop_1",18.9616031911228,33628.3880418041
"tosspre_14",18.8648657483157,25178.3049665628
"level3",18.7858225082224,63775.7012109628
"hhld_size",18.5649241272876,36783.2699757178
"tosspre_12",18.3747894955536,34958.42148501
"educ",18.2129578805171,33380.4634417335
"tosspost_17",17.7438058890609,37609.605508939
"family_35",17.74303494029,35197.6201131048
"compost_36",17.5235481036601,26374.0547096367
"tosspre_8",17.1413512010496,31646.2918372138
"amount_22",17.1319011821972,36693.3030670402
"preshop_4",16.6568164161339,25758.8571972157
"skill_32",16.1613540014791,20688.9588012895
"amount_26",16.1082109635999,24289.9672474751
"skill_28",16.0975734253608,34390.6904404021
"skill_33",16.0778891807229,19460.9207648737
"amount_27",15.9137559974791,17891.6925229382
"amount_20",15.5602049764476,31895.3711766775
"tosspost_19",15.343574587267,33762.8837806314
"skill_30",15.2832489603289,30330.9970548521
"amount_25",15.201566191879,27281.891306976
"gender",13.7270202272494,14343.1638243766
"class1",13.0314012708517,20195.4568495449
"child_pres",11.695375583468,13025.4153970518
"nonwhite",11.456687721414,7613.5851328927
"large",4.15601347666049,32486.3614211069
"date_days",0.606440476101227,59358.6804413287
"level2",-4.26602211482482,24901.111965994
"useby",-4.34499598620887,25925.8532098792
"bestby",-7.65945599214933,23868.8385098843
